,orderID,Customer_ID,Product_ID,quantity,date
0,9914432,1000001,P00069042,1,2020-12-29
1,1676537,1000001,P00248942,3,2017-03-27
2,8910457,1000001,P00087842,1,2017-08-20
3,5044982,1000001,P00085442,1,2019-03-03
4,4176351,1000002,P00285442,1,2018-07-11
5,2788984,1000003,P00193542,2,2019-03-24
6,6390125,1000004,P00184942,1,2018-03-19
7,9124731,1000004,P00346142,1,2017-08-07
8,3737449,1000004,P0097242,2,2020-07-31
9,6615900,1000005,P00274942,3,2018-04-04
10,9964587,1000005,P00251242,3,2015-02-05
11,3981186,1000005,P00014542,1,2020-03-16
12,7813840,1000005,P00031342,2,2018-02-23
13,6548299,1000005,P00145042,2,2018-07-15
14,2637103,1000006,P00231342,3,2015-01-11
15,5477016,1000006,P00190242,2,2015-04-13
16,5332271,1000006,P0096642,2,2016-09-26
17,6342286,1000006,P00058442,1,2018-02-24
18,4239459,1000007,P00036842,1,2016-09-09
19,1398497,1000008,P00249542,2,2017-06-23
20,3886900,1000008,P00220442,1,2015-06-09
21,7356700,1000008,P00156442,3,2015-08-16
22,6421163,1000008,P00213742,1,2017-10-23
23,6242323,1000008,P00214442,1,2015-02-08
24,4255837,1000008,P00303442,2,2015-12-28
25,9667412,1000009,P00135742,1,2017-07-19
26,5657685,1000009,P00039942,3,2020-02-04
27,7429602,1000009,P00161442,1,2018-02-07
28,4975873,1000009,P00078742,3,2016-09-24
29,9013292,1000010,P00085942,1,2016-03-07
30,7870278,1000010,P00118742,1,2018-10-06
31,3759526,1000010,P00297942,3,2016-08-04
32,2475478,1000010,P00266842,2,2019-05-23
33,7238712,1000010,P00058342,2,2016-11-26
34,5206664,1000010,P00032442,1,2016-04-11
35,7774004,1000010,P00105942,3,2016-11-06
36,3615466,1000010,P00182642,1,2015-11-01
37,9302230,1000010,P00186942,3,2015-12-28
38,8364072,1000010,P00155442,3,2016-08-12
39,6925801,1000010,P00221342,3,2017-01-29
40,6027996,1000010,P00087242,3,2017-03-15
41,5399196,1000010,P00111142,3,2018-03-24
42,4023995,1000010,P00259342,1,2015-08-08
43,7030390,1000010,P0094542,1,2016-11-15
44,2831468,1000010,P00148642,2,2016-07-04
45,1818442,1000010,P00312142,3,2016-02-22
46,2893448,1000010,P00113242,2,2018-03-27
47,1486110,1000011,P00192642,3,2019-12-24
48,5843278,1000011,P00110842,2,2019-12-31
49,5559833,1000011,P00189642,3,2018-12-25
50,8432076,1000012,P00304242,1,2020-08-15
51,4900338,1000012,P00365242,2,2018-11-04
52,7279354,1000013,P00129542,1,2020-09-27
53,2640947,1000013,P00140742,2,2018-02-24
54,5676533,1000013,P00182342,2,2017-10-26
55,2953293,1000014,P00276642,3,2018-03-26
56,1323018,1000015,P00334242,2,2015-10-28
57,1166982,1000015,P00247542,2,2019-03-24
58,7822842,1000015,P00338442,2,2015-02-25
59,4530551,1000015,P00275142,2,2016-10-01
60,3915008,1000015,P00333042,1,2017-09-19
61,4394437,1000015,P00166242,3,2015-07-04
62,1193955,1000015,P00161942,1,2020-12-23
63,2463094,1000015,P00348242,2,2015-12-07
64,4202698,1000015,P00042142,3,2015-08-13
65,3997040,1000016,P00244242,2,2017-01-02
66,2429316,1000016,P00217742,2,2020-12-23
67,5908278,1000017,P00019342,1,2018-12-28
68,9715261,1000017,P00100642,3,2018-12-23
69,3107006,1000017,P00073842,1,2018-05-20
70,5892767,1000018,P00366542,1,2015-04-22
71,5813439,1000018,P00190742,1,2020-07-20
72,7571281,1000018,P00151842,3,2017-09-11
73,8162123,1000018,P00112642,1,2016-10-12
74,4006095,1000018,P00118442,1,2019-06-07
75,3330220,1000018,P00034442,2,2020-10-30
76,6257619,1000018,P00222242,3,2020-12-02
77,3202828,1000018,P00118342,2,2016-09-17
78,2329756,1000018,P00324742,1,2015-10-13
79,5013370,1000018,P00190042,2,2016-05-14
80,7716321,1000018,P0094142,2,2019-11-07
81,6412675,1000018,P00138542,3,2017-11-29
82,8687100,1000018,P00158542,3,2016-09-30
83,5924033,1000018,P00157542,1,2015-01-15
84,9854363,1000018,P00044142,1,2017-06-24
85,4475756,1000019,P00112542,1,2020-03-09
86,6277318,1000019,P00339542,1,2018-06-16
87,4960693,1000019,P00127842,3,2018-10-25
88,5769746,1000019,P00125942,1,2018-07-11
89,1346842,1000019,P00251342,1,2017-04-12
90,3753712,1000019,P00249642,2,2017-04-17
91,7528576,1000019,P00124842,1,2019-12-15
92,3607386,1000019,P00250642,3,2018-06-20
93,6656451,1000019,P00058142,3,2018-06-09
94,6992737,1000019,P00117442,3,2016-11-04
95,8717517,1000019,P00251642,1,2019-10-22
96,2362994,1000019,P00244842,3,2017-12-16
97,9305850,1000021,P00220242,3,2020-02-15
98,3290197,1000022,P00351142,2,2016-07-27
99,2911035,1000022,P00213242,2,2015-11-30
100,2655804,1000022,P00195942,2,2016-12-06
101,4640786,1000022,P00115642,2,2016-11-05
102,6497468,1000022,P0098242,1,2016-02-03
103,3403033,1000022,P00262242,2,2016-06-29
104,4978092,1000022,P00258742,1,2017-04-10
105,5153123,1000022,P00218242,2,2017-09-11
106,5093212,1000022,P00021742,2,2019-08-11
107,5431827,1000022,P00313042,2,2018-02-27
108,8783079,1000022,P00133742,3,2020-07-17
109,5627125,1000022,P00077042,3,2016-09-28
110,8729958,1000022,P00280542,1,2018-02-07
111,6088791,1000022,P00225842,2,2017-09-14
112,6019560,1000023,P00278942,1,2015-05-30
113,6570931,1000023,P00004742,1,2018-11-16
114,8449823,1000023,P00198042,1,2016-12-10
115,1165992,1000023,P00177442,3,2016-06-27
116,5982360,1000023,P00000642,2,2020-12-05
117,8955595,1000023,P00288942,2,2017-06-27
118,1070814,1000023,P00270942,1,2016-06-21
119,9355042,1000023,P00345842,2,2016-05-09
120,1179185,1000023,P00032042,1,2019-08-04
121,6740123,1000023,P00313042,2,2019-11-04
122,7911253,1000023,P00112342,1,2020-04-28
123,7208822,1000023,P00031842,2,2015-08-26
124,9445879,1000024,P00346642,1,2015-11-25
125,5504667,1000024,P00205642,2,2018-01-09
126,1060700,1000024,P00248942,3,2017-01-17
127,9515434,1000025,P00206442,2,2017-10-28
128,6643818,1000025,P00046742,1,2015-06-21
129,6778337,1000025,P00120042,3,2018-12-04
130,3012084,1000026,P00043242,3,2018-06-15
131,7978627,1000026,P00057242,3,2019-11-09
132,5826510,1000026,P00022842,2,2017-06-06
133,7778289,1000026,P00252042,1,2017-08-13
134,7014704,1000026,P00042242,1,2017-01-24
135,9093365,1000026,P00059542,1,2017-05-16
136,9923412,1000026,P00346642,3,2019-11-18
137,5243922,1000026,P00021242,1,2017-05-05
138,6293420,1000026,P00023042,2,2016-04-30
139,6667435,1000026,P00144242,3,2020-03-27
140,5806182,1000026,P00101342,2,2017-10-27
141,3705357,1000026,P00289342,3,2019-10-19
142,2515928,1000027,P00281742,3,2017-01-06
143,2230012,1000027,P00266642,1,2017-11-09
144,1469091,1000027,P00323742,2,2018-10-17
145,3513309,1000027,P00116342,2,2017-10-04
146,6686143,1000027,P00117142,3,2020-02-13
147,4231384,1000028,P00084442,1,2016-09-01
148,7884803,1000028,P00331542,2,2015-06-02
149,5758971,1000028,P00118742,1,2020-02-13
150,5491720,1000028,P00178942,1,2017-11-05
151,5828371,1000028,P00026042,1,2018-04-16
152,5974638,1000029,P00233542,1,2018-03-21
153,5994383,1000029,P00127242,1,2016-08-15
154,4454210,1000029,P00349942,3,2018-08-02
155,5227702,1000029,P00303342,1,2018-11-19
156,6701436,1000030,P00051442,3,2015-05-22
157,6136185,1000030,P00275642,3,2016-08-15
158,8305773,1000030,P00278642,3,2015-10-21
159,1004219,1000031,P00117442,1,2018-12-19
160,2985744,1000031,P00322042,2,2019-04-11
161,9288128,1000031,P00216342,1,2020-06-17
162,3513226,1000031,P00329342,1,2019-03-29
163,8550232,1000032,P00332342,2,2016-07-07
164,5758113,1000033,P00285442,1,2015-02-28
165,3913609,1000033,P00111742,3,2016-07-30
166,8497642,1000033,P00293742,3,2016-07-24
167,6543255,1000033,P00032842,1,2016-11-11
168,1368245,1000033,P00216142,3,2018-10-04
169,8521264,1000033,P00001642,1,2016-03-16
170,6153616,1000033,P00351842,2,2016-06-05
171,3875471,1000033,P00145442,2,2015-12-10
172,2847331,1000033,P00344242,3,2016-11-30
173,5893624,1000033,P00327242,1,2016-03-09
174,4091660,1000033,P00241142,1,2016-03-10
175,7231623,1000033,P00219242,3,2017-11-02
176,3723382,1000033,P00057342,1,2015-09-11
177,3245572,1000033,P00165742,2,2019-01-30
178,7723461,1000033,P00154642,3,2020-12-29
179,5952015,1000034,P00192942,3,2018-12-02
180,4475543,1000034,P00247042,3,2020-12-27
181,9646096,1000034,P00150542,1,2015-12-17
182,4625954,1000034,P00347142,1,2020-02-17
183,8446278,1000034,P00326742,3,2016-01-18
184,7691600,1000034,P00085942,1,2020-12-20
185,9111538,1000034,P00330442,3,2016-02-14
186,9996158,1000034,P00327842,3,2016-07-03
187,7826478,1000034,P00218342,1,2016-12-04
188,6133776,1000034,P00259042,2,2019-10-26
189,7765690,1000035,P00102542,1,2017-06-28
190,5508334,1000035,P00285442,2,2020-02-18
191,8290611,1000035,P00121142,2,2017-07-22
192,1177613,1000035,P00228242,1,2017-05-05
193,2851007,1000035,P00129542,2,2020-09-24
194,7113913,1000035,P00309542,1,2020-07-13
195,5479818,1000035,P00106742,3,2018-04-30
196,1077840,1000036,P00102642,3,2015-07-22
197,5482540,1000036,P00127442,3,2020-10-11
198,9917856,1000036,P00345642,2,2020-09-21
199,3727426,1000036,P00357842,1,2017-07-25
200,5091411,1000036,P00115342,1,2018-06-02
201,6565184,1000036,P00174442,1,2020-06-30
202,9545461,1000036,P00282642,2,2020-01-31
203,1627051,1000036,P00150542,1,2016-10-11
204,2530458,1000036,P00037142,3,2020-05-23
205,2833888,1000036,P00192042,3,2017-12-28
206,6863557,1000036,P00197542,1,2015-08-24
207,3298589,1000036,P00048742,2,2018-02-25
208,5194117,1000036,P00110142,1,2015-02-01
209,6465039,1000036,P00120842,1,2019-10-10
210,3530989,1000036,P00267742,1,2017-05-09
211,2542911,1000036,P00086442,3,2020-12-02
212,3059622,1000036,P00331842,3,2015-02-05
213,2248353,1000036,P00288642,3,2018-01-12
214,4293644,1000036,P00318742,2,2017-06-13
215,2302197,1000036,P00028442,1,2017-11-25
216,6399650,1000036,P00208342,3,2017-06-25
217,4981859,1000036,P00193542,1,2018-08-25
218,8785290,1000036,P00277442,1,2020-01-12
219,3760243,1000037,P00085242,2,2016-03-02
220,1654048,1000039,P00279442,1,2020-08-16
221,5096019,1000039,P00351142,3,2018-04-11
222,2369796,1000041,P00235242,1,2018-10-14
223,3852662,1000041,P00251542,2,2020-02-05
224,9819520,1000042,P00046742,3,2017-06-15
